,0
997,ZNF584
998,ZNF585B
999,ZNF586
1000,ZNF589
1001,ZNF592
1002,ZNF596
1003,ZNF597
1004,ZNF600
1005,ZNF610
1006,ZNF614
1007,ZNF618
1008,ZNF623
1009,ZNF629
1010,ZNF639
1011,ZNF644
1012,ZNF652
1013,ZNF654
1014,ZNF660
1015,ZNF664
1016,ZNF677
1017,ZNF680
1018,ZNF687
1019,ZNF692
1020,ZNF697
1021,ZNF7
1022,ZNF701
1023,ZNF711
1024,ZNF740
1025,ZNF75A
1026,ZNF76
1027,ZNF766
1028,ZNF768
1029,ZNF770
1030,ZNF778
1031,ZNF781
1032,ZNF791
1033,ZNF792
1034,ZNF8
1035,ZNF816
1036,ZNF83
1037,ZNF84
1038,ZNF843
1039,ZNF85
1040,ZNF92
1041,ZSCAN16
1042,ZSCAN2
1043,ZSCAN21
1044,ZSCAN22
1045,ZSCAN29
1046,ZSCAN30
1047,ZSCAN31
1048,ZSCAN4
1049,ZSCAN5A
1050,ZSCAN5C
1051,ZSCAN5DP
1052,ZSCAN9
1053,ZXDB
1054,ZXDC
1055,ZZZ3
1056,c-myc
1057,p65
